"ids","expertise","trial_number","score"
1,1,0,16
2,0,0,14
3,0,0,14
4,0,0,13
5,1,0,16
6,0,0,16
7,0,0,14
8,1,0,20
9,0,0,12
10,1,0,22
11,0,0,14
12,0,0,14
13,1,0,19
14,1,0,18
15,0,0,16
16,0,0,12
17,1,0,17
18,0,0,12
19,0,0,11
20,0,0,15
21,0,0,13
22,1,0,21
23,0,0,14
24,0,0,12
25,0,0,12
26,1,0,15
27,0,0,11
28,1,0,14
29,0,0,15
30,1,0,15
31,0,0,16
32,1,0,12
33,1,0,13
34,0,0,16
35,1,0,18
36,0,0,14
37,0,0,16
38,0,0,13
39,0,0,14
40,1,0,9
41,1,0,12
42,1,0,17
43,0,0,13
44,1,0,13
45,0,0,12
46,0,0,12
47,0,0,12
48,1,0,17
49,1,0,17
50,1,0,16
51,1,0,20
52,1,0,19
53,0,0,15
54,0,0,11
55,0,0,12
56,1,0,17
57,0,0,15
58,0,0,12
59,0,0,15
60,1,0,14
61,0,0,14
62,0,0,12
63,0,0,13
64,0,0,13
65,1,0,18
66,0,0,12
67,0,0,11
68,0,0,13
69,0,0,16
70,0,0,12
71,0,0,11
72,1,0,16
73,0,0,14
74,1,0,18
75,1,0,19
76,1,0,19
77,0,0,14
78,0,0,11
79,1,0,15
80,1,0,17
81,1,0,16
82,1,0,16
83,0,0,14
84,0,0,15
85,1,0,18
86,0,0,14
87,1,0,11
88,0,0,11
89,0,0,11
90,1,0,18
91,0,0,14
92,1,0,17
93,0,0,15
94,0,0,15
95,0,0,14
96,1,0,17
97,1,0,19
98,0,0,13
99,1,0,20
100,0,0,11
1,1,1,18
2,0,1,17
3,0,1,16
4,0,1,15
5,1,1,19
6,0,1,17
7,0,1,16
8,1,1,22
9,0,1,14
10,1,1,24
11,0,1,16
12,0,1,15
13,1,1,21
14,1,1,20
15,0,1,17
16,0,1,14
17,1,1,19
18,0,1,14
19,0,1,14
20,0,1,17
21,0,1,15
22,1,1,23
23,0,1,15
24,0,1,13
25,0,1,13
26,1,1,18
27,0,1,13
28,1,1,15
29,0,1,16
30,1,1,17
31,0,1,17
32,1,1,15
33,1,1,16
34,0,1,17
35,1,1,20
36,0,1,16
37,0,1,17
38,0,1,14
39,0,1,15
40,1,1,12
41,1,1,15
42,1,1,19
43,0,1,15
44,1,1,14
45,0,1,14
46,0,1,13
47,0,1,14
48,1,1,19
49,1,1,18
50,1,1,19
51,1,1,21
52,1,1,21
53,0,1,17
54,0,1,14
55,0,1,15
56,1,1,19
57,0,1,17
58,0,1,14
59,0,1,17
60,1,1,17
61,0,1,15
62,0,1,15
63,0,1,15
64,0,1,14
65,1,1,19
66,0,1,14
67,0,1,13
68,0,1,15
69,0,1,17
70,0,1,14
71,0,1,13
72,1,1,18
73,0,1,17
74,1,1,20
75,1,1,21
76,1,1,21
77,0,1,16
78,0,1,13
79,1,1,17
80,1,1,19
81,1,1,19
82,1,1,17
83,0,1,15
84,0,1,17
85,1,1,20
86,0,1,16
87,1,1,14
88,0,1,13
89,0,1,13
90,1,1,20
91,0,1,16
92,1,1,18
93,0,1,17
94,0,1,17
95,0,1,16
96,1,1,19
97,1,1,20
98,0,1,14
99,1,1,23
100,0,1,13
1,1,2,20
2,0,2,19
3,0,2,19
4,0,2,16
5,1,2,20
6,0,2,19
7,0,2,17
8,1,2,24
9,0,2,16
10,1,2,27
11,0,2,19
12,0,2,17
13,1,2,23
14,1,2,22
15,0,2,18
16,0,2,16
17,1,2,21
18,0,2,16
19,0,2,16
20,0,2,19
21,0,2,18
22,1,2,25
23,0,2,18
24,0,2,15
25,0,2,15
26,1,2,19
27,0,2,14
28,1,2,17
29,0,2,18
30,1,2,19
31,0,2,20
32,1,2,17
33,1,2,17
34,0,2,20
35,1,2,22
36,0,2,18
37,0,2,19
38,0,2,16
39,0,2,17
40,1,2,14
41,1,2,17
42,1,2,22
43,0,2,17
44,1,2,16
45,0,2,17
46,0,2,15
47,0,2,16
48,1,2,21
49,1,2,19
50,1,2,21
51,1,2,24
52,1,2,23
53,0,2,20
54,0,2,15
55,0,2,17
56,1,2,22
57,0,2,19
58,0,2,16
59,0,2,20
60,1,2,19
61,0,2,18
62,0,2,16
63,0,2,16
64,0,2,17
65,1,2,22
66,0,2,16
67,0,2,16
68,0,2,17
69,0,2,19
70,0,2,16
71,0,2,14
72,1,2,20
73,0,2,20
74,1,2,22
75,1,2,23
76,1,2,22
77,0,2,17
78,0,2,14
79,1,2,18
80,1,2,20
81,1,2,21
82,1,2,19
83,0,2,16
84,0,2,19
85,1,2,22
86,0,2,18
87,1,2,16
88,0,2,15
89,0,2,15
90,1,2,22
91,0,2,18
92,1,2,19
93,0,2,19
94,0,2,19
95,0,2,18
96,1,2,21
97,1,2,22
98,0,2,15
99,1,2,25
100,0,2,14
